n,nsteps,force_block,openmp,cuda_graphs,run,time_s,change,status,raw_log
10000,5000,256,0,1,1,0.335,0.000294,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run1.log
10000,5000,256,0,1,2,0.368,0.000292,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run2.log
10000,5000,256,0,1,3,0.358,0.000293,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run3.log
10000,5000,256,0,1,4,0.356,0.000298,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run4.log
10000,5000,256,0,1,5,0.355,0.000299,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run5.log
10000,5000,256,0,1,6,0.345,0.000299,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run6.log
10000,5000,256,0,1,7,0.321,0.000295,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run7.log
10000,5000,256,0,1,8,0.293,0.000300,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run8.log
10000,5000,256,0,1,9,0.267,0.000288,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run9.log
10000,5000,256,0,1,10,0.267,0.000279,ok,results/raw/n10000_steps5000_fb256_omp0_graphs1_run10.log
50000,5000,256,0,1,1,0.471,0.000049,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run1.log
50000,5000,256,0,1,2,0.473,0.000049,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run2.log
50000,5000,256,0,1,3,0.477,0.000049,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run3.log
50000,5000,256,0,1,4,0.477,0.000048,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run4.log
50000,5000,256,0,1,5,0.491,0.000050,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run5.log
50000,5000,256,0,1,6,0.472,0.000052,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run6.log
50000,5000,256,0,1,7,0.482,0.000046,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run7.log
50000,5000,256,0,1,8,0.477,0.000052,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run8.log
50000,5000,256,0,1,9,0.478,0.000048,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run9.log
50000,5000,256,0,1,10,0.481,0.000051,ok,results/raw/n50000_steps5000_fb256_omp0_graphs1_run10.log
75000,5000,256,0,1,1,0.573,0.000268,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run1.log
75000,5000,256,0,1,2,0.570,0.000268,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run2.log
75000,5000,256,0,1,3,0.570,0.000264,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run3.log
75000,5000,256,0,1,4,0.571,0.000264,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run4.log
75000,5000,256,0,1,5,0.580,0.000265,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run5.log
75000,5000,256,0,1,6,0.569,0.000265,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run6.log
75000,5000,256,0,1,7,0.576,0.000266,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run7.log
75000,5000,256,0,1,8,0.582,0.000266,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run8.log
75000,5000,256,0,1,9,0.576,0.000265,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run9.log
75000,5000,256,0,1,10,0.576,0.000270,ok,results/raw/n75000_steps5000_fb256_omp0_graphs1_run10.log
80000,5000,256,0,1,1,0.582,0.000261,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run1.log
80000,5000,256,0,1,2,0.591,0.000267,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run2.log
80000,5000,256,0,1,3,0.582,0.000258,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run3.log
80000,5000,256,0,1,4,0.581,0.000260,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run4.log
80000,5000,256,0,1,5,0.581,0.000270,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run5.log
80000,5000,256,0,1,6,0.588,0.000259,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run6.log
80000,5000,256,0,1,7,0.585,0.000257,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run7.log
80000,5000,256,0,1,8,0.585,0.000267,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run8.log
80000,5000,256,0,1,9,0.587,0.000269,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run9.log
80000,5000,256,0,1,10,0.586,0.000266,ok,results/raw/n80000_steps5000_fb256_omp0_graphs1_run10.log
90000,5000,256,0,1,1,0.688,0.000063,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run1.log
90000,5000,256,0,1,2,0.689,0.000066,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run2.log
90000,5000,256,0,1,3,0.693,0.000065,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run3.log
90000,5000,256,0,1,4,0.693,0.000064,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run4.log
90000,5000,256,0,1,5,0.771,0.000066,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run5.log
90000,5000,256,0,1,6,0.777,0.000063,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run6.log
90000,5000,256,0,1,7,0.790,0.000065,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run7.log
90000,5000,256,0,1,8,0.782,0.000063,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run8.log
90000,5000,256,0,1,9,0.775,0.000064,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run9.log
90000,5000,256,0,1,10,0.722,0.000065,ok,results/raw/n90000_steps5000_fb256_omp0_graphs1_run10.log
100000,5000,256,0,1,1,0.736,0.000068,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run1.log
100000,5000,256,0,1,2,0.740,0.000066,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run2.log
100000,5000,256,0,1,3,0.731,0.000067,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run3.log
100000,5000,256,0,1,4,0.751,0.000068,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run4.log
100000,5000,256,0,1,5,0.730,0.000068,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run5.log
100000,5000,256,0,1,6,0.729,0.000067,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run6.log
100000,5000,256,0,1,7,0.731,0.000068,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run7.log
100000,5000,256,0,1,8,0.731,0.000070,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run8.log
100000,5000,256,0,1,9,0.739,0.000066,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run9.log
100000,5000,256,0,1,10,0.738,0.000067,ok,results/raw/n100000_steps5000_fb256_omp0_graphs1_run10.log
