n,nsteps,force_block,openmp,cuda_graphs,runs,avg_time_s,min_time_s,max_time_s,avg_change,status
10000,5000,256,0,1,10,0.3968,0.383,0.441,0.0002952,ok
10000,5000,256,1,1,10,0.3948,0.378,0.442,0.0002922,ok
50000,5000,256,0,1,10,0.5483,0.525,0.597,4.94e-05,ok
50000,5000,256,1,1,10,0.5333,0.496,0.585,4.99e-05,ok
75000,5000,256,0,1,10,0.6185,0.600,0.640,0.000265,ok
75000,5000,256,1,1,10,0.6137,0.602,0.620,0.0002643,ok
80000,5000,256,0,1,10,0.6373,0.611,0.711,0.0002652,ok
80000,5000,256,1,1,10,0.6165,0.612,0.626,0.0002656,ok
90000,5000,256,0,1,10,0.7801,0.714,0.823,6.36e-05,ok
90000,5000,256,1,1,10,0.7869,0.723,0.820,6.42e-05,ok
100000,5000,256,0,1,10,0.7721,0.760,0.805,6.73e-05,ok
100000,5000,256,1,1,10,0.7817,0.759,0.859,6.68e-05,ok
