n,nsteps,r_skin,force_block,ke_block,update_block,rebuild_block,run,time_s,status,start_total,final_total,abs_delta,rel_delta,raw_log
1000,1000,0.2,256,32,256,128,1,0.235,0,-3325.3989,-3325.4199,-0.0209999999997,-6.31503185971e-06,results/raw/n1000_steps1000_skin0.2_force256_ke32_update256_rebuild128_run1.log
1000,1000,0.2,256,32,256,128,2,0.231,0,-3325.3990,-3325.4229,-0.0239000000001,-7.18710747196e-06,results/raw/n1000_steps1000_skin0.2_force256_ke32_update256_rebuild128_run2.log
1000,1000,0.2,256,32,256,128,3,0.236,0,-3325.3989,-3325.4291,-0.0301999999997,-9.08161724589e-06,results/raw/n1000_steps1000_skin0.2_force256_ke32_update256_rebuild128_run3.log
1000,1000,0.2,256,32,256,128,4,0.245,0,-3325.3989,-3325.4259,-0.027,-8.11932667688e-06,results/raw/n1000_steps1000_skin0.2_force256_ke32_update256_rebuild128_run4.log
1000,1000,0.2,256,32,256,128,5,0.225,0,-3325.3986,-3325.4250,-0.0264000000002,-7.93889791142e-06,results/raw/n1000_steps1000_skin0.2_force256_ke32_update256_rebuild128_run5.log
1000,2000,0.2,256,32,256,128,1,0.291,0,-3325.3986,-3325.4360,-0.0374000000002,-1.12467720412e-05,results/raw/n1000_steps2000_skin0.2_force256_ke32_update256_rebuild128_run1.log
1000,2000,0.2,256,32,256,128,2,0.273,0,-3325.3984,-3325.4362,-0.0378000000001,-1.13670590568e-05,results/raw/n1000_steps2000_skin0.2_force256_ke32_update256_rebuild128_run2.log
1000,2000,0.2,256,32,256,128,3,0.269,0,-3325.3990,-3325.4196,-0.0206000000003,-6.19474535245e-06,results/raw/n1000_steps2000_skin0.2_force256_ke32_update256_rebuild128_run3.log
1000,2000,0.2,256,32,256,128,4,0.264,0,-3325.3987,-3325.4227,-0.0239999999999,-7.21717970236e-06,results/raw/n1000_steps2000_skin0.2_force256_ke32_update256_rebuild128_run4.log
1000,2000,0.2,256,32,256,128,5,0.257,0,-3325.3986,-3325.4233,-0.0246999999999,-7.42768100039e-06,results/raw/n1000_steps2000_skin0.2_force256_ke32_update256_rebuild128_run5.log
1000,5000,0.2,256,32,256,128,1,0.399,0,-3325.3989,-3325.4165,-0.0175999999997,-5.29259813001e-06,results/raw/n1000_steps5000_skin0.2_force256_ke32_update256_rebuild128_run1.log
1000,5000,0.2,256,32,256,128,2,0.496,0,-3325.3989,-3325.4290,-0.0300999999999,-9.05154566568e-06,results/raw/n1000_steps5000_skin0.2_force256_ke32_update256_rebuild128_run2.log
1000,5000,0.2,256,32,256,128,3,0.508,0,-3325.3989,-3325.4081,-0.00919999999996,-2.76658538618e-06,results/raw/n1000_steps5000_skin0.2_force256_ke32_update256_rebuild128_run3.log
1000,5000,0.2,256,32,256,128,4,0.502,0,-3325.3987,-3325.4142,-0.0155,-4.66109522445e-06,results/raw/n1000_steps5000_skin0.2_force256_ke32_update256_rebuild128_run4.log
1000,5000,0.2,256,32,256,128,5,0.515,0,-3325.3989,-3325.4164,-0.0174999999999,-5.2625265498e-06,results/raw/n1000_steps5000_skin0.2_force256_ke32_update256_rebuild128_run5.log
1000,10000,0.2,256,32,256,128,1,0.760,0,-3325.3985,-3325.4346,-0.0361000000003,-1.08558417887e-05,results/raw/n1000_steps10000_skin0.2_force256_ke32_update256_rebuild128_run1.log
1000,10000,0.2,256,32,256,128,2,0.761,0,-3325.3984,-3325.4324,-0.0340000000001,-1.02243388341e-05,results/raw/n1000_steps10000_skin0.2_force256_ke32_update256_rebuild128_run2.log
1000,10000,0.2,256,32,256,128,3,0.752,0,-3325.3989,-3325.4070,-0.00810000000001,-2.43579800306e-06,results/raw/n1000_steps10000_skin0.2_force256_ke32_update256_rebuild128_run3.log
1000,10000,0.2,256,32,256,128,4,0.758,0,-3325.3989,-3325.4492,-0.0502999999999,-1.51260048832e-05,results/raw/n1000_steps10000_skin0.2_force256_ke32_update256_rebuild128_run4.log
1000,10000,0.2,256,32,256,128,5,0.752,0,-3325.3989,-3325.4061,-0.00720000000001,-2.1651537805e-06,results/raw/n1000_steps10000_skin0.2_force256_ke32_update256_rebuild128_run5.log
2000,1000,0.2,256,32,256,128,1,0.212,0,-2503.2991,-2504.0703,-0.7712,-0.000308073453947,results/raw/n2000_steps1000_skin0.2_force256_ke32_update256_rebuild128_run1.log
2000,1000,0.2,256,32,256,128,2,0.202,0,-2503.2993,-2504.0774,-0.7781,-0.000310829791707,results/raw/n2000_steps1000_skin0.2_force256_ke32_update256_rebuild128_run2.log
