n,nsteps,r_skin,force_block,ke_block,update_block,rebuild_block,runs,avg_time_s,min_time_s,max_time_s,avg_abs_delta,avg_rel_delta
1000,1000,0.2,256,32,256,128,5,0.234,0.225,0.245,-0.0256999999999,-7.72839623317e-06
1000,2000,0.2,256,32,256,128,5,0.271,0.257,0.291,-0.0289000000001,-8.69068743064e-06
1000,5000,0.2,256,32,256,128,5,0.484,0.399,0.515,-0.0179799999999,-5.40687019122e-06
1000,10000,0.2,256,32,256,128,5,0.757,0.752,0.761,-0.0271400000001,-8.16142745791e-06
2000,1000,0.2,256,32,256,128,5,0.208,0.202,0.212,-0.77228,-0.000308504872227
2000,2000,0.2,256,32,256,128,5,0.266,0.254,0.280,-0.86818,-0.000346814316259
2000,5000,0.2,256,32,256,128,5,0.407,0.402,0.417,-0.82212,-0.000328414600649
2000,10000,0.2,256,32,256,128,5,0.638,0.632,0.649,-0.79784,-0.00031871540002
4000,1000,0.2,256,32,256,128,5,0.216,0.207,0.231,-0.107100000001,-7.85127436976e-06
4000,2000,0.2,256,32,256,128,5,0.269,0.259,0.276,-0.1877,-1.37598901164e-05
4000,5000,0.2,256,32,256,128,5,0.418,0.413,0.425,-0.14698,-1.07747932318e-05
4000,10000,0.2,256,32,256,128,5,0.680,0.676,0.688,-0.1394,-1.02191192981e-05
8000,1000,0.2,256,32,256,128,5,0.214,0.210,0.219,-0.320879999999,-1.20405006241e-05
8000,2000,0.2,256,32,256,128,5,0.302,0.263,0.364,-0.42858,-1.60817676571e-05
8000,5000,0.2,256,32,256,128,5,0.520,0.515,0.525,-0.44178,-1.65770767256e-05
8000,10000,0.2,256,32,256,128,5,0.735,0.677,0.806,-0.427419999999,-1.60382407591e-05
16000,1000,0.2,256,32,256,128,5,0.228,0.215,0.235,-5.68282,-0.000235397394711
16000,2000,0.2,256,32,256,128,5,0.284,0.282,0.288,-6.02804,-0.000249697312778
16000,5000,0.2,256,32,256,128,5,0.443,0.434,0.451,-6.61064,-0.000273830152203
16000,10000,0.2,256,32,256,128,5,0.701,0.694,0.711,-6.01836,-0.000249296346643
20000,1000,0.2,256,32,256,128,5,0.248,0.240,0.261,-7.31326,-0.000239595539001
20000,2000,0.2,256,32,256,128,5,0.291,0.285,0.298,-7.77382,-0.000254684315487
20000,5000,0.2,256,32,256,128,5,0.458,0.455,0.463,-8.37324,-0.000274322401124
20000,10000,0.2,256,32,256,128,5,0.726,0.723,0.728,-7.87946,-0.000258145266693
