r_skin,max_neighbors,rebuild_interval,runs,avg_time_s,min_time_s,max_time_s,avg_change,baseline_change,avg_abs_diff,status
0.2,96,10,5,2.002400,1.972,2.065,0.000067400,0.000066,0.000001400,ok
0.4,96,10,0,,,,,0.000066,,overflow
0.6,96,10,0,,,,,0.000066,,overflow
0.2,96,20,5,1.459400,1.399,1.559,0.000068000,0.000066,0.000002000,ok
0.4,96,20,0,,,,,0.000066,,overflow
0.6,96,20,0,,,,,0.000066,,overflow
0.2,96,30,5,1.270200,1.222,1.336,0.000228000,0.000066,0.000162000,possibly_incorrect
0.4,96,30,0,,,,,0.000066,,overflow
0.6,96,30,0,,,,,0.000066,,overflow
0.2,128,10,5,1.997000,1.964,2.064,0.000067800,0.000066,0.000001800,ok
0.4,128,10,5,2.489400,2.480,2.508,0.000067200,0.000066,0.000001200,ok
0.6,128,10,0,,,,,0.000066,,overflow
0.2,128,20,5,1.457600,1.406,1.562,0.000068200,0.000066,0.000002200,ok
0.4,128,20,5,1.723400,1.711,1.743,0.000066200,0.000066,0.000000200,ok
0.6,128,20,0,,,,,0.000066,,overflow
0.2,128,30,5,1.260600,1.219,1.318,0.000227600,0.000066,0.000161600,possibly_incorrect
0.4,128,30,5,1.469600,1.460,1.482,0.000067800,0.000066,0.000001800,ok
0.6,128,30,0,,,,,0.000066,,overflow
0.2,192,10,5,2.008200,1.977,2.117,0.000067400,0.000066,0.000001400,ok
0.4,192,10,5,2.486800,2.479,2.494,0.000066800,0.000066,0.000000800,ok
0.6,192,10,5,3.155400,3.146,3.166,0.000068800,0.000066,0.000002800,ok
0.2,192,20,5,1.458400,1.409,1.573,0.000068200,0.000066,0.000002200,ok
0.4,192,20,5,1.719800,1.710,1.727,0.000067000,0.000066,0.000001000,ok
0.6,192,20,5,2.133400,2.129,2.138,0.000067200,0.000066,0.000001200,ok
0.2,192,30,5,1.270400,1.209,1.392,0.000229200,0.000066,0.000163200,possibly_incorrect
0.4,192,30,5,1.465400,1.459,1.478,0.000068200,0.000066,0.000002200,ok
0.6,192,30,5,1.798000,1.784,1.807,0.000067000,0.000066,0.000001000,ok
