r_skin,max_neighbors,rebuild_interval,runs,avg_time_s,min_time_s,max_time_s,avg_change,baseline_change,avg_abs_diff,status
0.2,128,15,5,1.623000,1.592,1.728,0.000066600,0.000065,0.000001600,ok
0.3,128,15,5,1.787600,1.779,1.799,0.000066600,0.000065,0.000001600,ok
0.4,128,15,5,1.987400,1.976,1.995,0.000068400,0.000065,0.000003400,ok
0.2,128,20,5,1.461000,1.408,1.574,0.000068000,0.000065,0.000003000,ok
0.3,128,20,5,1.571000,1.559,1.585,0.000065400,0.000065,0.000000400,ok
0.4,128,20,5,1.723000,1.710,1.743,0.000068400,0.000065,0.000003400,ok
0.2,128,25,5,1.347200,1.287,1.457,0.000087600,0.000065,0.000022600,ok
0.3,128,25,5,1.425000,1.416,1.439,0.000067600,0.000065,0.000002600,ok
0.4,128,25,5,1.579000,1.570,1.588,0.000067400,0.000065,0.000002400,ok
0.2,128,30,5,1.260800,1.217,1.317,0.000226400,0.000065,0.000161400,possibly_incorrect
0.3,128,30,5,1.368800,1.347,1.393,0.000068800,0.000065,0.000003800,ok
0.4,128,30,5,1.480200,1.469,1.509,0.000067000,0.000065,0.000002000,ok
0.2,128,35,5,1.222800,1.179,1.325,0.000681600,0.000065,0.000616600,possibly_incorrect
0.3,128,35,5,1.284800,1.275,1.298,0.000076400,0.000065,0.000011400,ok
0.4,128,35,5,1.405600,1.405,1.406,0.000069000,0.000065,0.000004000,ok
0.2,192,15,5,1.649800,1.591,1.760,0.000068600,0.000065,0.000003600,ok
0.3,192,15,5,1.784800,1.777,1.793,0.000068600,0.000065,0.000003600,ok
0.4,192,15,5,1.993000,1.986,1.997,0.000068600,0.000065,0.000003600,ok
0.2,192,20,5,1.450200,1.414,1.506,0.000068400,0.000065,0.000003400,ok
0.3,192,20,5,1.570000,1.561,1.578,0.000067000,0.000065,0.000002000,ok
0.4,192,20,5,1.736800,1.718,1.756,0.000066800,0.000065,0.000001800,ok
0.2,192,25,5,1.349200,1.293,1.454,0.000089400,0.000065,0.000024400,ok
0.3,192,25,5,1.428800,1.419,1.442,0.000067400,0.000065,0.000002400,ok
0.4,192,25,5,1.580800,1.574,1.591,0.000067600,0.000065,0.000002600,ok
0.2,192,30,5,1.272200,1.217,1.386,0.000226600,0.000065,0.000161600,possibly_incorrect
0.3,192,30,5,1.363200,1.345,1.389,0.000068400,0.000065,0.000003400,ok
0.4,192,30,5,1.479000,1.464,1.512,0.000067200,0.000065,0.000002200,ok
0.2,192,35,5,1.208200,1.167,1.256,0.000684000,0.000065,0.000619000,possibly_incorrect
0.3,192,35,5,1.291600,1.277,1.305,0.000078600,0.000065,0.000013600,ok
0.4,192,35,5,1.402200,1.395,1.418,0.000067000,0.000065,0.000002000,ok
