threads,schedule,runs,avg_time_s,min_time_s,max_time_s
1,"static",5,1.653200,1.606000,1.771000
1,"static,64",5,1.605600,1.602000,1.610000
1,"static,256",5,1.605200,1.604000,1.607000
1,"static,1024",5,1.604800,1.603000,1.606000
1,"dynamic,64",5,1.605800,1.604000,1.608000
1,"dynamic,256",5,1.606600,1.602000,1.618000
1,"dynamic,1024",5,1.602600,1.600000,1.605000
1,"guided,64",5,1.604200,1.602000,1.606000
1,"guided,256",5,1.604400,1.601000,1.606000
1,"guided,1024",5,1.603400,1.600000,1.607000
2,"static",5,1.602400,1.601000,1.604000
2,"static,64",5,1.605000,1.601000,1.612000
2,"static,256",5,1.604400,1.600000,1.610000
2,"static,1024",5,1.602800,1.601000,1.605000
2,"dynamic,64",5,1.610200,1.606000,1.617000
2,"dynamic,256",5,1.603000,1.601000,1.605000
2,"dynamic,1024",5,1.605000,1.601000,1.612000
2,"guided,64",5,1.602000,1.601000,1.603000
2,"guided,256",5,1.601800,1.601000,1.603000
2,"guided,1024",5,1.604000,1.601000,1.606000
4,"static",5,1.602600,1.600000,1.608000
4,"static,64",5,1.605800,1.604000,1.609000
4,"static,256",5,1.605000,1.604000,1.608000
4,"static,1024",5,1.600800,1.600000,1.601000
4,"dynamic,64",5,1.601800,1.600000,1.603000
4,"dynamic,256",5,1.604800,1.599000,1.610000
4,"dynamic,1024",5,1.603000,1.600000,1.608000
4,"guided,64",5,1.600800,1.599000,1.604000
4,"guided,256",5,1.601400,1.599000,1.603000
4,"guided,1024",5,1.602400,1.599000,1.609000
6,"static",5,1.600600,1.597000,1.603000
6,"static,64",5,1.602800,1.601000,1.607000
6,"static,256",5,1.649600,1.603000,1.746000
6,"static,1024",5,1.605200,1.599000,1.612000
6,"dynamic,64",5,1.608800,1.602000,1.621000
6,"dynamic,256",5,1.601800,1.597000,1.606000
6,"dynamic,1024",5,1.600400,1.598000,1.603000
6,"guided,64",5,1.600800,1.599000,1.603000
6,"guided,256",5,1.603000,1.599000,1.608000
6,"guided,1024",5,1.606800,1.602000,1.613000
8,"static",5,1.602200,1.602000,1.603000
8,"static,64",5,1.605200,1.602000,1.609000
8,"static,256",5,1.607600,1.603000,1.612000
8,"static,1024",5,1.603800,1.602000,1.609000
8,"dynamic,64",5,1.605600,1.601000,1.609000
8,"dynamic,256",5,1.604800,1.603000,1.607000
8,"dynamic,1024",5,1.601800,1.599000,1.606000
8,"guided,64",5,1.603400,1.595000,1.609000
8,"guided,256",5,1.603400,1.601000,1.605000
8,"guided,1024",5,1.602800,1.598000,1.610000
12,"static",5,1.601000,1.599000,1.603000
12,"static,64",5,1.606600,1.603000,1.613000
12,"static,256",5,1.603600,1.600000,1.607000
12,"static,1024",5,1.603000,1.601000,1.605000
12,"dynamic,64",5,1.607000,1.605000,1.611000
12,"dynamic,256",5,1.606400,1.600000,1.609000
12,"dynamic,1024",5,1.603600,1.601000,1.609000
12,"guided,64",5,1.601600,1.598000,1.604000
12,"guided,256",5,1.602400,1.599000,1.604000
12,"guided,1024",5,1.603000,1.602000,1.604000
