n,nsteps,r_skin,block_size,runs,avg_time
1000,5000,0.2,32,5,0.663200
1000,5000,0.2,64,5,0.563400
1000,5000,0.2,128,5,0.563800
1000,5000,0.2,256,5,0.566400
1000,5000,0.2,512,5,0.571800
1000,5000,0.2,1024,5,0.602800
1000,5000,0.4,32,5,0.555600
1000,5000,0.4,64,5,0.554400
1000,5000,0.4,128,5,0.551800
1000,5000,0.4,256,5,0.554400
1000,5000,0.4,512,5,0.562400
1000,5000,0.4,1024,5,0.594200
1000,5000,0.6,32,5,0.548800
1000,5000,0.6,64,5,0.550200
1000,5000,0.6,128,5,0.544600
1000,5000,0.6,256,5,0.548800
1000,5000,0.6,512,5,0.561200
1000,5000,0.6,1024,5,0.593400
1000,5000,0.8,32,5,0.551200
1000,5000,0.8,64,5,0.552200
