n,nsteps,r_skin,block_size,runs,warmup_runs,avg_time
1000,5000,0.2,32,5,3,0.566000
1000,5000,0.2,64,5,3,0.567000
1000,5000,0.2,128,5,3,0.565800
1000,5000,0.2,256,5,3,0.565200
1000,5000,0.2,512,5,3,0.576800
1000,5000,0.2,1024,5,3,0.603600
1000,5000,0.4,32,5,3,0.550800
1000,5000,0.4,64,5,3,0.550400
1000,5000,0.4,128,5,3,0.549600
1000,5000,0.4,256,5,3,0.548400
1000,5000,0.4,512,5,3,0.565400
1000,5000,0.4,1024,5,3,0.590000
1000,5000,0.6,32,5,3,0.544400
1000,5000,0.6,64,5,3,0.544800
1000,5000,0.6,128,5,3,0.543800
1000,5000,0.6,256,5,3,0.545200
1000,5000,0.6,512,5,3,0.552800
1000,5000,0.6,1024,5,3,0.590000
1000,5000,0.8,32,5,3,0.547200
1000,5000,0.8,64,5,3,0.545600
1000,5000,0.8,128,5,3,0.545800
1000,5000,0.8,256,5,3,0.547000
1000,5000,0.8,512,5,3,0.553800
1000,5000,0.8,1024,5,3,0.597600
1000,5000,1.0,32,5,3,0.553200
1000,5000,1.0,64,5,3,0.549600
1000,5000,1.0,128,5,3,0.549600
1000,5000,1.0,256,5,3,0.552400
1000,5000,1.0,512,5,3,0.569800
1000,5000,1.0,1024,5,3,0.608000
1000,5000,1.2,32,5,3,0.556000
1000,5000,1.2,64,5,3,0.552200
1000,5000,1.2,128,5,3,0.554800
1000,5000,1.2,256,5,3,0.559800
1000,5000,1.2,512,5,3,0.572200
1000,5000,1.2,1024,5,3,0.619800
1000,5000,1.5,32,5,3,0.564000
1000,5000,1.5,64,5,3,0.568000
1000,5000,1.5,128,5,3,0.566200
1000,5000,1.5,256,5,3,0.572600
1000,5000,1.5,512,5,3,0.582000
1000,5000,1.5,1024,5,3,0.635200
2000,5000,0.2,32,5,3,0.591800
2000,5000,0.2,64,5,3,0.588200
2000,5000,0.2,128,5,3,0.586800
2000,5000,0.2,256,5,3,0.588400
2000,5000,0.2,512,5,3,0.595200
2000,5000,0.2,1024,5,3,0.630400
2000,5000,0.4,32,5,3,0.560800
2000,5000,0.4,64,5,3,0.560000
2000,5000,0.4,128,5,3,0.561400
2000,5000,0.4,256,5,3,0.560600
2000,5000,0.4,512,5,3,0.570800
2000,5000,0.4,1024,5,3,0.608600
2000,5000,0.6,32,5,3,0.564600
2000,5000,0.6,64,5,3,0.561600
2000,5000,0.6,128,5,3,0.564400
2000,5000,0.6,256,5,3,0.563200
2000,5000,0.6,512,5,3,0.574200
2000,5000,0.6,1024,5,3,0.620800
2000,5000,0.8,32,5,3,0.567800
