n,nsteps,r_skin,block_size,runs,avg_time
1000,5000,0.2,32,5,0.414200
1000,5000,0.2,64,5,0.342400
1000,5000,0.2,128,5,0.342400
1000,5000,0.2,256,5,0.346000
1000,5000,0.2,512,5,0.377600
1000,5000,0.2,1024,5,0.464200
1000,5000,0.4,32,5,0.357800
1000,5000,0.4,64,5,0.349600
1000,5000,0.4,128,5,0.340800
1000,5000,0.4,256,5,0.355000
1000,5000,0.4,512,5,0.370200
1000,5000,0.4,1024,5,0.455400
1000,5000,0.6,32,5,0.361800
1000,5000,0.6,64,5,0.362600
1000,5000,0.6,128,5,0.363800
1000,5000,0.6,256,5,0.363600
1000,5000,0.6,512,5,0.378200
1000,5000,0.6,1024,5,0.480800
1000,5000,0.8,32,5,0.362200
1000,5000,0.8,64,5,0.365200
1000,5000,0.8,128,5,0.364600
1000,5000,0.8,256,5,0.367000
1000,5000,0.8,512,5,0.400800
1000,5000,0.8,1024,5,0.502800
1000,5000,1.0,32,5,0.367200
1000,5000,1.0,64,5,0.362800
1000,5000,1.0,128,5,0.359800
1000,5000,1.0,256,5,0.367000
1000,5000,1.0,512,5,0.402000
1000,5000,1.0,1024,5,0.493600
1000,5000,1.2,32,5,0.385000
1000,5000,1.2,64,5,0.375200
1000,5000,1.2,128,5,0.364200
1000,5000,1.2,256,5,0.374200
1000,5000,1.2,512,5,0.405400
1000,5000,1.2,1024,5,0.531600
1000,5000,1.5,32,5,0.382600
1000,5000,1.5,64,5,0.372600
1000,5000,1.5,128,5,0.361600
1000,5000,1.5,256,5,0.369800
1000,5000,1.5,512,5,0.403800
1000,5000,1.5,1024,5,0.527200
2000,5000,0.2,32,5,0.365600
2000,5000,0.2,64,5,0.358400
2000,5000,0.2,128,5,0.355200
2000,5000,0.2,256,5,0.364400
2000,5000,0.2,512,5,0.391000
2000,5000,0.2,1024,5,0.480000
2000,5000,0.4,32,5,0.367600
2000,5000,0.4,64,5,0.362400
2000,5000,0.4,128,5,0.354800
2000,5000,0.4,256,5,0.365800
2000,5000,0.4,512,5,0.379200
2000,5000,0.4,1024,5,0.465200
2000,5000,0.6,32,5,0.364400
2000,5000,0.6,64,5,0.363600
2000,5000,0.6,128,5,0.363800
2000,5000,0.6,256,5,0.366800
2000,5000,0.6,512,5,0.404000
2000,5000,0.6,1024,5,0.495200
2000,5000,0.8,32,5,0.369600
2000,5000,0.8,64,5,0.368000
2000,5000,0.8,128,5,0.368200
2000,5000,0.8,256,5,0.367800
2000,5000,0.8,512,5,0.406200
2000,5000,0.8,1024,5,0.496800
2000,5000,1.0,32,5,0.373400
2000,5000,1.0,64,5,0.370400
2000,5000,1.0,128,5,0.368600
2000,5000,1.0,256,5,0.370000
2000,5000,1.0,512,5,0.407800
2000,5000,1.0,1024,5,0.510000
2000,5000,1.2,32,5,0.381200
2000,5000,1.2,64,5,0.372600
2000,5000,1.2,128,5,0.368800
2000,5000,1.2,256,5,0.373400
2000,5000,1.2,512,5,0.408600
2000,5000,1.2,1024,5,0.528800
2000,5000,1.5,32,5,0.397200
2000,5000,1.5,64,5,0.388600
2000,5000,1.5,128,5,0.372400
2000,5000,1.5,256,5,0.387600
2000,5000,1.5,512,5,0.413800
2000,5000,1.5,1024,5,0.540800
4000,5000,0.2,32,5,0.367800
4000,5000,0.2,64,5,0.361600
4000,5000,0.2,128,5,0.359200
4000,5000,0.2,256,5,0.365400
4000,5000,0.2,512,5,0.393400
4000,5000,0.2,1024,5,0.478400
4000,5000,0.4,32,5,0.369600
4000,5000,0.4,64,5,0.371200
4000,5000,0.4,128,5,0.372800
4000,5000,0.4,256,5,0.374600
4000,5000,0.4,512,5,0.397800
4000,5000,0.4,1024,5,0.500400
4000,5000,0.6,32,5,0.370800
4000,5000,0.6,64,5,0.366600
4000,5000,0.6,128,5,0.369400
4000,5000,0.6,256,5,0.368800
4000,5000,0.6,512,5,0.405600
4000,5000,0.6,1024,5,0.501000
4000,5000,0.8,32,5,0.373800
4000,5000,0.8,64,5,0.366200
4000,5000,0.8,128,5,0.368400
4000,5000,0.8,256,5,0.371600
4000,5000,0.8,512,5,0.408600
4000,5000,0.8,1024,5,0.502200
4000,5000,1.0,32,5,0.375400
4000,5000,1.0,64,5,0.372200
4000,5000,1.0,128,5,0.372200
4000,5000,1.0,256,5,0.374800
4000,5000,1.0,512,5,0.413000
4000,5000,1.0,1024,5,0.523000
4000,5000,1.2,32,5,0.385600
4000,5000,1.2,64,5,0.378400
4000,5000,1.2,128,5,0.377000
4000,5000,1.2,256,5,0.380200
4000,5000,1.2,512,5,0.414800
4000,5000,1.2,1024,5,0.537600
4000,5000,1.5,32,5,0.401800
4000,5000,1.5,64,5,0.396600
4000,5000,1.5,128,5,0.397200
4000,5000,1.5,256,5,0.398600
4000,5000,1.5,512,5,0.420200
4000,5000,1.5,1024,5,0.557800
8000,5000,0.2,32,5,0.381600
8000,5000,0.2,64,5,0.374400
8000,5000,0.2,128,5,0.370000
8000,5000,0.2,256,5,0.376000
8000,5000,0.2,512,5,0.398600
8000,5000,0.2,1024,5,0.490800
8000,5000,0.4,32,5,0.369000
8000,5000,0.4,64,5,0.370600
8000,5000,0.4,128,5,0.372200
8000,5000,0.4,256,5,0.369000
8000,5000,0.4,512,5,0.396400
8000,5000,0.4,1024,5,0.506200
8000,5000,0.6,32,5,0.366600
8000,5000,0.6,64,5,0.366200
8000,5000,0.6,128,5,0.368000
8000,5000,0.6,256,5,0.367800
8000,5000,0.6,512,5,0.406800
8000,5000,0.6,1024,5,0.512800
8000,5000,0.8,32,5,0.376000
8000,5000,0.8,64,5,0.374400
8000,5000,0.8,128,5,0.369800
8000,5000,0.8,256,5,0.374800
8000,5000,0.8,512,5,0.409000
8000,5000,0.8,1024,5,0.514200
8000,5000,1.0,32,5,0.381000
8000,5000,1.0,64,5,0.381000
8000,5000,1.0,128,5,0.377000
8000,5000,1.0,256,5,0.378000
8000,5000,1.0,512,5,0.414400
8000,5000,1.0,1024,5,0.530000
8000,5000,1.2,32,5,0.393400
8000,5000,1.2,64,5,0.387200
8000,5000,1.2,128,5,0.383200
8000,5000,1.2,256,5,0.390600
8000,5000,1.2,512,5,0.421800
8000,5000,1.2,1024,5,0.547400
8000,5000,1.5,32,5,0.406200
8000,5000,1.5,64,5,0.401800
8000,5000,1.5,128,5,0.398800
8000,5000,1.5,256,5,0.407800
