grid_size,cores,steps,runs,avg_time
128,1,100,5,2.603110
128,2,100,5,2.471728
128,4,100,5,2.102137
128,16,100,5,1.964101
128,32,100,5,2.056068
512,1,100,5,2.932478
512,2,100,5,2.784160
512,4,100,5,2.360678
512,16,100,5,2.296009
512,32,100,5,2.498612
1024,1,100,5,4.041388
1024,2,100,5,3.510523
1024,4,100,5,2.822102
1024,16,100,5,3.056289
1024,32,100,5,4.215531
2048,1,100,5,8.492314
2048,2,100,5,6.270041
2048,4,100,5,4.991213
2048,16,100,5,6.035536
2048,32,100,5,11.749599
4096,1,100,5,27.224240
4096,2,100,5,17.403603
4096,4,100,5,14.051408
4096,16,100,5,21.782624
4096,32,100,5,37.076410
